349,Kaiteriteri,41°03'S,173°01'E
Based on constituent set with reference date:,01-Jul-2009
Local Std or Daylight Time,Tidal heights in metres.
1,Sa,1,2022,02:51,0.7,09:19,3.6,15:23,0.6,21:35,3.6
2,Su,1,2022,03:51,0.5,10:13,3.9,16:14,0.5,22:30,3.7
3,Mo,1,2022,04:46,0.4,11:03,4.1,17:04,0.4,23:24,3.8
4,Tu,1,2022,05:37,0.3,11:49,4.1,17:52,0.3,,
5,We,1,2022,00:16,3.8,06:24,0.3,12:34,4.1,18:40,0.4
6,Th,1,2022,01:05,3.8,07:10,0.4,13:18,4.0,19:28,0.5
7,Fr,1,2022,01:53,3.7,07:54,0.5,14:02,3.9,20:16,0.7
8,Sa,1,2022,02:40,3.5,08:38,0.7,14:48,3.7,21:05,0.8
9,Su,1,2022,03:26,3.3,09:25,0.9,15:37,3.4,21:56,1.0
10,Mo,1,2022,04:15,3.2,10:17,1.1,16:31,3.2,22:50,1.1
11,Tu,1,2022,05:10,3.0,11:20,1.3,17:30,3.1,23:47,1.2
12,We,1,2022,06:16,2.9,12:31,1.3,18:33,3.0,,
13,Th,1,2022,00:47,1.3,07:29,3.0,13:37,1.3,19:33,3.0
14,Fr,1,2022,01:49,1.3,08:35,3.1,14:33,1.2,20:28,3.1
15,Sa,1,2022,02:48,1.2,09:27,3.2,15:20,1.1,21:18,3.2
16,Su,1,2022,03:40,1.1,10:10,3.4,16:02,0.9,22:05,3.3
17,Mo,1,2022,04:24,0.9,10:48,3.5,16:40,0.8,22:47,3.4
18,Tu,1,2022,05:02,0.8,11:22,3.7,17:16,0.7,23:27,3.5
19,We,1,2022,05:37,0.7,11:54,3.8,17:51,0.6,,
20,Th,1,2022,00:05,3.5,06:10,0.6,12:26,3.8,18:27,0.6
21,Fr,1,2022,00:42,3.6,06:43,0.6,12:58,3.8,19:04,0.6
22,Sa,1,2022,01:18,3.6,07:17,0.6,13:32,3.8,19:43,0.6
23,Su,1,2022,01:55,3.6,07:53,0.6,14:09,3.7,20:24,0.7
24,Mo,1,2022,02:34,3.5,08:32,0.7,14:51,3.6,21:10,0.8
25,Tu,1,2022,03:17,3.4,09:18,0.9,15:40,3.4,22:01,0.9
26,We,1,2022,04:07,3.3,10:15,1.1,16:40,3.3,22:59,1.0
27,Th,1,2022,05:09,3.2,11:29,1.2,17:51,3.2,,
28,Fr,1,2022,00:06,1.0,06:30,3.1,12:53,1.2,19:07,3.2
29,Sa,1,2022,01:22,1.0,07:57,3.3,14:09,1.0,20:20,3.3
30,Su,1,2022,02:38,0.9,09:07,3.5,15:12,0.8,21:26,3.5
31,Mo,1,2022,03:44,0.7,10:04,3.8,16:06,0.6,22:25,3.6
1,Tu,2,2022,04:39,0.5,10:53,4.0,16:56,0.4,23:18,3.8
2,We,2,2022,05:28,0.3,11:37,4.1,17:42,0.3,,
3,Th,2,2022,00:05,3.8,06:11,0.3,12:19,4.2,18:26,0.3
4,Fr,2,2022,00:49,3.8,06:52,0.3,12:59,4.1,19:07,0.4
5,Sa,2,2022,01:30,3.8,07:30,0.4,13:38,3.9,19:48,0.5
6,Su,2,2022,02:09,3.6,08:07,0.6,14:16,3.7,20:27,0.7
7,Mo,2,2022,02:47,3.5,08:46,0.8,14:57,3.5,21:07,0.9
8,Tu,2,2022,03:26,3.3,09:28,1.0,15:41,3.3,21:50,1.1
9,We,2,2022,04:09,3.1,10:21,1.3,16:33,3.1,22:39,1.3
10,Th,2,2022,05:07,2.9,11:32,1.4,17:35,2.9,23:40,1.4
11,Fr,2,2022,06:33,2.8,12:53,1.5,18:45,2.9,,
12,Sa,2,2022,00:57,1.5,08:02,2.9,14:03,1.4,19:54,2.9
13,Su,2,2022,02:18,1.4,09:04,3.1,14:57,1.2,20:54,3.0
14,Mo,2,2022,03:21,1.2,09:50,3.3,15:41,1.0,21:46,3.2
15,Tu,2,2022,04:07,1.0,10:27,3.5,16:20,0.8,22:30,3.4
16,We,2,2022,04:45,0.8,11:01,3.7,16:56,0.7,23:10,3.5
17,Th,2,2022,05:18,0.6,11:33,3.8,17:31,0.5,23:46,3.7
18,Fr,2,2022,05:50,0.5,12:04,3.9,18:06,0.4,,
19,Sa,2,2022,00:22,3.8,06:22,0.4,12:37,4.0,18:42,0.4
20,Su,2,2022,00:57,3.8,06:55,0.4,13:10,3.9,19:20,0.4
21,Mo,2,2022,01:32,3.8,07:30,0.5,13:47,3.8,20:00,0.5
22,Tu,2,2022,02:09,3.7,08:09,0.6,14:27,3.7,20:43,0.6
